	Button	Page	Section	Currently redirecting to	Should Redirect to
1	Test Premium for 1$	Landing Page	Experience Premium Features	/test-premium	/subscribe?plan=test-premium
2	Try Premium 1$	/compress-free	Hero CTA	Nowhere	/subscribe?plan=test-premium
3	View API docs	/compress-free	Hero CTA	/overview	/api-docs
4	Test Premium for 1$	/compress-free	Experience Premium Features	Nowhere	/subscribe?plan=test-premium
5	Continue With Premium	/test-premium	Hero CTA	/enterprise-upgrade	/subscribe?plan=premium
6	Keep this Power	/test-premium	Hero CTA	Nowhere	/subscribe?plan=premium
7	View Enterprise	/test-premium	Your Premium Plan Usage	/enterprise-upgrade	/simple-pricing
8	View Docs	/test-premium	Automate Your Workflow with	/api-docs	/api-docs#documentation
9	Upgrade to Enterprise	/test-premium	Ready for Enterprise Scale	/enterprise-upgrade	/simple-pricing
10	Scale to Enterprise Now	/premium	Hero CTA	/enterprise-upgrade	/subscribe?plan=enterprise
11	See What You are Missing	/premium	Hero CTA	Nowhere	/simple-pricing
12	View Enterprise	/premium	Your Premium Plan Usage	/enterprise-upgrade	/simple-pricing
13	View Docs	/premium	Automate Your Workflow with	/api-docs	/api-docs#documentation
14	Upgrade to Enterprise	/premium	Ready for Enterprise Scale	/enterprise-upgrade	/simple-pricing
15	Explore Enterprise API	/enterprise	Hero CTA	#Automate Your Workflow with	/api-docs
16	Satrt Processing	/enterprise	Hero CTA	#Automate Your Workflow with	/api-docs#how-it-works
17	Contact Support	/enterprise	Your Enterprise Plan Usage	Webmail	Contact Page - need to create
18	View Docs	/enterprise	Automate Your Workflow with	/api-docs	/api-docs#documentation
19	Send Feedback	/enterprise	Help Us Improve MicroJPEG		Check if working and saving to Database - sending email to MicroJPEG
