CORRECT PAGE NAME	Compress/convert	Specific Page Name
avif-to-jpg	/convert/	/convert/avif-to-jpg
jpg-to-jpg	/compress/	/compress/jpg-to-jpg
png-to-jpg	/convert/	/convert/png-to-jpg
arw-to-jpg	/convert/	/convert/arw-to-jpg
cr2-to-jpg	/convert/	/convert/cr2-to-jpg
crw-to-jpg	/convert/	/convert/crw-to-jpg
dng-to-jpg	/convert/	/convert/dng-to-jpg
nef-to-jpg	/convert/	/convert/nef-to-jpg
orf-to-jpg	/convert/	/convert/orf-to-jpg
raf-to-jpg	/convert/	/convert/raf-to-jpg
tiff-to-jpg	/convert/	/convert/tiff-to-jpg
svg-to-jpg	/convert/	/convert/svg-to-jpg
webp-to-jpg	/convert/	/convert/webp-to-jpg
avif-to-png	/convert/	/convert/avif-to-png
jpg-to-png	/convert/	/convert/jpg-to-png
png-to-png	/compress/	/compress/png-to-png
arw-to-png	/convert/	/convert/arw-to-png
cr2-to-png	/convert/	/convert/cr2-to-png
crw-to-png	/convert/	/convert/crw-to-png
dng-to-png	/convert/	/convert/dng-to-png
nef-to-png	/convert/	/convert/nef-to-png
orf-to-png	/convert/	/convert/orf-to-png
raf-to-png	/convert/	/convert/raf-to-png
tiff-to-png	/convert/	/convert/tiff-to-png
svg-to-png	/convert/	/convert/svg-to-png
webp-to-png	/convert/	/convert/webp-to-png
avif-to-tiff	/convert/	/convert/avif-to-tiff
jpg-to-tiff	/convert/	/convert/jpg-to-tiff
png-to-tiff	/convert/	/convert/png-to-tiff
arw-to-tiff	/convert/	/convert/arw-to-tiff
cr2-to-tiff	/convert/	/convert/cr2-to-tiff
crw-to-tiff	/convert/	/convert/crw-to-tiff
dng-to-tiff	/convert/	/convert/dng-to-tiff
nef-to-tiff	/convert/	/convert/nef-to-tiff
orf-to-tiff	/convert/	/convert/orf-to-tiff
raf-to-tiff	/convert/	/convert/raf-to-tiff
tiff-to-tiff	/compress/	/compress/tiff-to-tiff
svg-to-tiff	/convert/	/convert/svg-to-tiff
webp-to-tiff	/convert/	/convert/webp-to-tiff
avif-to-webp	/convert/	/convert/avif-to-webp
jpg-to-webp	/convert/	/convert/jpg-to-webp
png-to-webp	/convert/	/convert/png-to-webp
arw-to-webp	/convert/	/convert/arw-to-webp
cr2-to-webp	/convert/	/convert/cr2-to-webp
crw-to-webp	/convert/	/convert/crw-to-webp
dng-to-webp	/convert/	/convert/dng-to-webp
nef-to-webp	/convert/	/convert/nef-to-webp
orf-to-webp	/convert/	/convert/orf-to-webp
raf-to-webp	/convert/	/convert/raf-to-webp
tiff-to-webp	/convert/	/convert/tiff-to-webp
svg-to-webp	/convert/	/convert/svg-to-webp
webp-to-webp	/compress/	/compress/webp-to-webp
avif-to-avif	/compress/	/compress/avif-to-avif
jpg-to-avif	/convert/	/convert/jpg-to-avif
png-to-avif	/convert/	/convert/png-to-avif
arw-to-avif	/convert/	/convert/arw-to-avif
cr2-to-avif	/convert/	/convert/cr2-to-avif
crw-to-avif	/convert/	/convert/crw-to-avif
dng-to-avif	/convert/	/convert/dng-to-avif
nef-to-avif	/convert/	/convert/nef-to-avif
orf-to-avif	/convert/	/convert/orf-to-avif
raf-to-avif	/convert/	/convert/raf-to-avif
tiff-to-avif	/convert/	/convert/tiff-to-avif
svg-to-avif	/convert/	/convert/svg-to-avif
webp-to-avif	/convert/	/convert/webp-to-avif
avif-to-svg	/convert/	/convert/avif-to-svg
jpg-to-svg	/convert/	/convert/jpg-to-svg
png-to-svg	/convert/	/convert/png-to-svg
arw-to-svg	/convert/	/convert/arw-to-svg
cr2-to-svg	/convert/	/convert/cr2-to-svg
crw-to-svg	/convert/	/convert/crw-to-svg
dng-to-svg	/convert/	/convert/dng-to-svg
nef-to-svg	/convert/	/convert/nef-to-svg
orf-to-svg	/convert/	/convert/orf-to-svg
raf-to-svg	/convert/	/convert/raf-to-svg
tiff-to-svg	/convert/	/convert/tiff-to-svg
svg-to-svg	/compress/	/compress/svg-to-svg
webp-to-svg	/convert/	/convert/webp-to-svg
